2026-03-15 17:01:48 | INFO | EtlWorkerService | === Fin Worker ETL (batch=78ea2f9f-6e7d-4b70-a9a4-92da960ff64b) ===
2026-03-15 17:12:03 | INFO | EtlWorkerService | Configuracion cargada desde C:\Users\kalco\OneDrive\Documents\Electiva 1 y 2\ProcesoEtl\config\settings.json
2026-03-15 17:12:03 | INFO | EtlWorkerService | Base de datos objetivo: ProcesoETLDB
2026-03-15 17:12:03 | INFO | EtlWorkerService | === Inicio Worker ETL (batch=273cf3de-05ea-4c92-a8fc-cc9fc90b11a8) ===
2026-03-15 17:12:05 | INFO | EtlWorkerService | [SQL] Lotes ejecutados: 10/28
2026-03-15 17:12:06 | INFO | EtlWorkerService | [SQL] Lotes ejecutados: 20/28
2026-03-15 17:12:06 | INFO | EtlWorkerService | [SQL] Esquema aplicado correctamente en la base ProcesoETLDB.
2026-03-15 17:12:10 | INFO | EtlWorkerService | [DataLoader] Tablas staging y auditoria limpiadas.
2026-03-15 17:12:10 | INFO | EtlWorkerService | [CsvExtractor] Archivo customers.csv extraido con 5000 filas.
2026-03-15 17:12:10 | INFO | EtlWorkerService | [CsvExtractor] Archivo products.csv extraido con 2000 filas.
2026-03-15 17:12:10 | INFO | EtlWorkerService | [CsvExtractor] Archivo orders.csv extraido con 20000 filas.
2026-03-15 17:12:10 | INFO | EtlWorkerService | [CsvExtractor] Archivo order_details.csv extraido con 60161 filas.
2026-03-15 17:12:11 | INFO | EtlWorkerService | [ApiExtractor] Endpoint /comments extrajo 500 filas.
2026-03-15 17:12:34 | INFO | EtlWorkerService | [DatabaseExtractor] Query orders_overview extrajo 20000 filas.
2026-03-15 17:12:34 | INFO | EtlWorkerService | [DatabaseExtractor] Query customer_activity extrajo 5000 filas.
2026-03-15 17:12:34 | INFO | EtlWorkerService | [DataLoader] Archivos temporales generados: 7
2026-03-15 17:12:35 | INFO | EtlWorkerService | [DataLoader] 5000 filas cargadas en dbo.StgCsvExtract.
2026-03-15 17:12:35 | INFO | EtlWorkerService | [DataLoader] 2000 filas cargadas en dbo.StgCsvExtract.
2026-03-15 17:12:39 | INFO | EtlWorkerService | [DataLoader] 20000 filas cargadas en dbo.StgCsvExtract.
2026-03-15 17:12:51 | INFO | EtlWorkerService | [DataLoader] 60161 filas cargadas en dbo.StgCsvExtract.
2026-03-15 17:12:53 | INFO | EtlWorkerService | [DataLoader] 20000 filas cargadas en dbo.StgDbExtract.
2026-03-15 17:12:54 | INFO | EtlWorkerService | [DataLoader] 5000 filas cargadas en dbo.StgDbExtract.
2026-03-15 17:12:54 | INFO | EtlWorkerService | [DataLoader] 500 filas cargadas en dbo.StgApiExtract.
2026-03-15 17:12:54 | INFO | EtlWorkerService | [DataLoader] Metricas de auditoria guardadas: 7
2026-03-15 17:12:54 | INFO | EtlWorkerService | Datasets extraidos: 7
2026-03-15 17:12:54 | INFO | EtlWorkerService | Total de filas extraidas: 112661
2026-03-15 17:12:54 | INFO | EtlWorkerService | Errores detectados: 0
2026-03-15 17:12:54 | INFO | EtlWorkerService | === Fin Worker ETL (batch=273cf3de-05ea-4c92-a8fc-cc9fc90b11a8) ===
2026-03-16 15:23:55 | INFO | EtlWorkerService | Configuracion cargada desde C:\Users\kalco\OneDrive\Documents\Electiva 1 y 2\ProcesoEtl\config\settings.json
2026-03-16 15:23:55 | INFO | EtlWorkerService | Base de datos objetivo: ProcesoETLDB
2026-03-16 15:23:55 | INFO | EtlWorkerService | === Inicio Worker ETL (batch=5e3fe317-a029-434a-8a35-db28dd0ca9c4) ===
2026-03-16 15:23:57 | INFO | EtlWorkerService | [SQL] Lotes ejecutados: 10/28
2026-03-16 15:23:58 | INFO | EtlWorkerService | [SQL] Lotes ejecutados: 20/28
2026-03-16 15:23:59 | INFO | EtlWorkerService | [SQL] Esquema aplicado correctamente en la base ProcesoETLDB.
2026-03-16 15:24:02 | INFO | EtlWorkerService | [DataLoader] Tablas staging y auditoria limpiadas.
2026-03-16 15:24:02 | INFO | EtlWorkerService | [CsvExtractor] Archivo customers.csv extraido con 5000 filas.
2026-03-16 15:24:02 | INFO | EtlWorkerService | [CsvExtractor] Archivo products.csv extraido con 2000 filas.
2026-03-16 15:24:02 | INFO | EtlWorkerService | [CsvExtractor] Archivo orders.csv extraido con 20000 filas.
2026-03-16 15:24:02 | INFO | EtlWorkerService | [CsvExtractor] Archivo order_details.csv extraido con 60161 filas.
2026-03-16 15:24:03 | INFO | EtlWorkerService | [ApiExtractor] Endpoint /comments extrajo 500 filas.
2026-03-16 15:24:29 | INFO | EtlWorkerService | [DatabaseExtractor] Query orders_overview extrajo 20000 filas.
2026-03-16 15:24:29 | INFO | EtlWorkerService | [DatabaseExtractor] Query customer_activity extrajo 5000 filas.
2026-03-16 15:24:30 | INFO | EtlWorkerService | [DataLoader] Archivos temporales generados: 7
2026-03-16 15:24:52 | INFO | EtlWorkerService | [DataLoader] 5000 filas cargadas en dbo.StgCsvExtract.
2026-03-16 15:24:56 | INFO | EtlWorkerService | [DataLoader] 2000 filas cargadas en dbo.StgCsvExtract.
2026-03-16 15:26:01 | INFO | EtlWorkerService | [DataLoader] 20000 filas cargadas en dbo.StgCsvExtract.
2026-03-16 15:27:05 | INFO | EtlWorkerService | [DataLoader] 60161 filas cargadas en dbo.StgCsvExtract.
2026-03-16 15:27:07 | INFO | EtlWorkerService | [DataLoader] 20000 filas cargadas en dbo.StgDbExtract.
2026-03-16 15:27:08 | INFO | EtlWorkerService | [DataLoader] 5000 filas cargadas en dbo.StgDbExtract.
2026-03-16 15:27:08 | INFO | EtlWorkerService | [DataLoader] 500 filas cargadas en dbo.StgApiExtract.
2026-03-16 15:27:08 | INFO | EtlWorkerService | [DataLoader] Metricas de auditoria guardadas: 7
2026-03-16 15:27:08 | INFO | EtlWorkerService | Datasets extraidos: 7
2026-03-16 15:27:08 | INFO | EtlWorkerService | Total de filas extraidas: 112661
2026-03-16 15:27:08 | INFO | EtlWorkerService | Errores detectados: 0
2026-03-16 15:27:08 | INFO | EtlWorkerService | === Fin Worker ETL (batch=5e3fe317-a029-434a-8a35-db28dd0ca9c4) ===
2026-03-16 15:31:44 | INFO | EtlWorkerService | Configuracion cargada desde C:\Users\kalco\OneDrive\Documents\Electiva 1 y 2\ProcesoEtl\config\settings.json
2026-03-16 15:31:44 | INFO | EtlWorkerService | Base de datos objetivo: ProcesoETLDB
2026-03-16 15:31:44 | INFO | EtlWorkerService | === Inicio Worker ETL (batch=a16d7470-c6fe-406c-824a-0b9c3a9a44b2) ===
2026-03-16 15:31:46 | INFO | EtlWorkerService | [SQL] Lotes ejecutados: 10/28
2026-03-16 15:31:46 | INFO | EtlWorkerService | [SQL] Lotes ejecutados: 20/28
2026-03-16 15:31:47 | INFO | EtlWorkerService | [SQL] Esquema aplicado correctamente en la base ProcesoETLDB.
2026-03-16 15:31:50 | INFO | EtlWorkerService | [DataLoader] Tablas staging y auditoria limpiadas.
2026-03-16 15:31:50 | INFO | EtlWorkerService | [CsvExtractor] Archivo customers.csv extraido con 5000 filas.
2026-03-16 15:31:50 | INFO | EtlWorkerService | [CsvExtractor] Archivo products.csv extraido con 2000 filas.
2026-03-16 15:31:50 | INFO | EtlWorkerService | [CsvExtractor] Archivo orders.csv extraido con 20000 filas.
2026-03-16 15:31:50 | INFO | EtlWorkerService | [CsvExtractor] Archivo order_details.csv extraido con 60161 filas.
2026-03-16 15:31:51 | INFO | EtlWorkerService | [ApiExtractor] Endpoint /comments extrajo 500 filas.
2026-03-16 15:32:28 | INFO | EtlWorkerService | [DatabaseExtractor] Query orders_overview extrajo 20000 filas.
2026-03-16 15:32:28 | INFO | EtlWorkerService | [DatabaseExtractor] Query customer_activity extrajo 5000 filas.
